ID,BARANGAY,DATE COMMITTED,MONTH COMMITTED,DAY COMMITTED,YEAR COMMITTED,TIME COMMITTED,OFFENSE,VICTIMS Age,VICTIMS Gender,SUSPECTS Age,SUSPECTS Gender,VICTIMS COUNT,SUSPECTS COUNT,VEHICLE KIND,LONGITUDE,LATITUDE,RAINFALL,TMAX,TMIN,WIND_SPEED,WIND_DIRECTION
104,Cayambanan,10/8/2019,10,8,2019,20:40:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,59.0,M,59.0,F,2,2,"CAR,MOTORCYCLE",120.5902224,15.9971746,0.0,32.5,25.8,3.0,360.0
105,Cayambanan,10/8/2019,10,8,2019,20:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,59.0,M,59.0,F,2,2,"CAR,MOTORCYCLE",120.5910049,15.9980637,0.0,32.5,25.8,3.0,360.0
106,Nancayasan,10/8/2019,10,8,2019,10:05:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,39.0,M,24.0,M,1,1,CAR,120.5764807,15.9536798,0.0,32.5,25.8,3.0,360.0
107,Poblacion,10/8/2019,10,8,2019,15:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,50.0,F,31.0,M,1,1,"CAR,TRICYCLE",120.5709034,15.9779645,0.0,32.5,25.8,3.0,360.0
108,Cayambanan,10/9/2019,10,9,2019,7:55:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,36.0,M,40.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.592723,15.999824,0.0,32.6,24.1,2.0,90.0
109,Cayambanan,10/9/2019,10,9,2019,7:55:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,36.0,M,40.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5944663,16.0016788,0.0,32.6,24.1,2.0,90.0
110,Nancayasan,10/9/2019,10,9,2019,12:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,30.0,M,21.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5763689,15.9539741,0.0,32.6,24.1,2.0,90.0
111,Bayaoas,10/10/2019,10,10,2019,22:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,40.0,M,20.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.581927,15.9709617,0.0,32.5,24.6,2.0,360.0
112,Nancayasan,10/10/2019,10,10,2019,15:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,46.0,M,24.0,M,1,1,CAR,120.5762678,15.954271,0.0,32.5,24.6,2.0,360.0
113,Poblacion,10/10/2019,10,10,2019,7:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,43.0,M,17.0,M,1,1,"CAR,MOTORCYCLE",120.5710152,15.9789777,0.0,32.5,24.6,2.0,360.0
114,Poblacion,10/10/2019,10,10,2019,12:20:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,54.0,F,49.0,M,1,1,"CAR,TRICYCLE",120.5711389,15.9797773,0.0,32.5,24.6,2.0,360.0
115,San Vicente,10/10/2019,10,10,2019,15:45:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,39.0,M,30.0,M,2,1,"CAR,MOTORCYCLE,TRICYCLE",120.5735131,15.990374,0.0,32.5,24.6,2.0,360.0
116,San Vicente,10/10/2019,10,10,2019,15:45:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,39.0,M,30.0,M,2,1,"CAR,MOTORCYCLE,TRICYCLE",120.5735716,15.9906197,0.0,32.5,24.6,2.0,360.0
117,Anonas,11/10/2019,10,11,2019,16:20:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,22.0,M,33.0,M,1,1,"TRICYCLE,TRUCK",120.5841526,15.9937865,0.0,32.0,25.0,3.0,160.0
118,Nancalobasaan,10/11/2019,10,11,2019,17:35:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,45.0,M,,M,2,1,MOTORCYCLE,120.5980614,16.0056661,0.0,32.0,25.0,3.0,160.0
119,San Vicente,10/11/2019,10,11,2019,15:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,32.0,M,30.0,M,2,1,CAR,120.5670774,15.9869608,0.0,32.0,25.0,3.0,160.0
120,Nancayasan,10/12/2019,10,12,2019,21:20:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,21.0,M,29.0,M,1,1,MOTORCYCLE,120.5761773,15.9545473,0.0,33.0,25.0,3.0,180.0
121,Camantiles,10/13/2019,10,13,2019,13:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,78.0,M,48.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5303882,16.0011569,0.0,33.0,24.5,2.0,360.0
122,Catablan,10/13/2019,10,13,2019,11:00:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,14.0,M,44.0,M,1,1,"MOTORCYCLE,TRUCK",120.4987581,15.9653059,0.0,33.0,24.5,2.0,360.0
123,Catablan,10/13/2019,10,13,2019,11:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,14.0,M,44.0,M,1,1,"MOTORCYCLE,TRUCK",120.5058964,15.9622736,0.0,33.0,24.5,2.0,360.0
124,Pinmaludpod,10/13/2019,10,13,2019,21:50:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,21.0,M,21.0,M,2,2,"MOTORCYCLE,VAN",120.5137075,15.9989336,0.0,33.0,24.5,2.0,360.0
125,Santo Domingo,10/13/2019,10,13,2019,16:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,49.0,M,22.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5569261,15.9629453,0.0,33.0,24.5,2.0,360.0
126,San Vicente,10/14/2019,10,14,2019,12:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,48.0,F,47.0,M,1,1,CAR,120.5673968,15.9870095,0.0,33.0,25.0,2.0,180.0
127,San Vicente,10/16/2019,10,16,2019,15:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,42.0,M,33.0,M,1,1,"CAR,TRUCK",120.5676496,15.9870913,0.0,32.0,24.3,2.0,160.0
128,Nancayasan,10/17/2019,10,17,2019,0:20:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,21.0,M,31.0,M,2,2,"MOTORCYCLE,TRUCK",120.5760628,15.9548749,0.0,32.9,24.6,2.0,160.0
129,Nancayasan,10/17/2019,10,17,2019,0:20:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,21.0,M,31.0,M,2,2,"MOTORCYCLE,TRUCK",120.5759244,15.9552383,0.0,32.9,24.6,2.0,160.0
130,Poblacion,10/18/2019,10,18,2019,16:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,40.0,F,56.0,M,1,1,"CAR,TRICYCLE",120.571296,15.9804912,0.0,32.8,25.0,3.0,320.0
131,Anonas,10/19/2019,10,19,2019,13:20:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,36.0,M,24.0,M,1,1,"TRICYCLE,TRUCK",120.5788269,15.9954985,0.0,33.0,25.5,3.0,340.0
132,Nancayasan,10/19/2019,10,19,2019,3:25:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE HOMICIDE - RPC Art 365,39.0,M,39.0,M,8,1,"BUS,TRICYCLE",120.5758446,15.9554711,0.0,33.0,25.5,3.0,340.0
133,Nancayasan,10/19/2019,10,19,2019,3:25:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,39.0,M,39.0,M,8,1,"BUS,TRICYCLE",120.5757674,15.9556682,0.0,33.0,25.5,3.0,340.0
134,Pinmaludpod,10/19/2019,10,19,2019,23:00:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,50.0,M,40.0,M,1,2,CAR,120.5145925,15.9802136,0.0,33.0,25.5,3.0,340.0
135,Nancamaliran East,10/20/2019,10,20,2019,18:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,30.0,M,49.0,M,1,1,CAR,120.559601,15.9721714,31.0,34.6,24.4,3.0,180.0
136,Nancayasan,10/20/2019,10,20,2019,6:45:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,21.0,M,21.0,M,2,2,"CAR,MOTORCYCLE",120.5756982,15.9559062,31.0,34.6,24.4,3.0,180.0
137,Nancayasan,10/20/2019,10,20,2019,6:45:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,21.0,M,21.0,M,2,2,"CAR,MOTORCYCLE",120.5755625,15.9562593,31.0,34.6,24.4,3.0,180.0
138,Anonas,10/22/2019,10,22,2019,12:16:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,44.0,M,46.0,M,2,2,"CAR,MOTORCYCLE",120.5779004,16.0095702,0.0,33.5,25.0,3.0,160.0
139,Anonas,10/22/2019,10,22,2019,15:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,42.0,M,42.0,M,1,1,TRUCK,120.5785141,15.9957306,0.0,33.5,25.0,3.0,160.0
140,Catablan,10/22/2019,10,22,2019,19:05:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,46.0,M,42.0,M,1,1,"CAR,TRICYCLE",120.5048318,15.9629415,0.0,33.5,25.0,3.0,160.0
141,Poblacion,10/22/2019,10,22,2019,9:15:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,38.0,F,20.0,M,1,1,TRICYCLE,120.5714557,15.9812332,0.0,33.5,25.0,3.0,160.0
142,Poblacion,10/23/2019,10,23,2019,13:40:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,50.0,M,59.0,M,1,1,"JEEP,MOTORCYCLE",120.571618,15.9819241,-1.0,32.5,26.0,3.0,320.0
143,San Vicente,10/23/2019,10,23,2019,8:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,21.0,M,20.0,M,1,1,"MOTORCYCLE,WAGON",120.5679344,15.987163,-1.0,32.5,26.0,3.0,320.0
144,San Vicente,10/23/2019,10,23,2019,8:45:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,18.0,M,29.0,M,1,1,MOTORCYCLE,120.5681793,15.9872193,-1.0,32.5,26.0,3.0,320.0
145,San Vicente,10/23/2019,10,23,2019,16:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,30.0,M,40.0,M,1,1,"BUS,CAR",120.5684907,15.9874291,-1.0,32.5,26.0,3.0,320.0
146,San Vicente,10/24/2019,10,24,2019,2:15:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,34.0,M,32.0,M,1,1,"TRICYCLE,VAN",120.5688327,15.9877489,0.0,33.0,25.0,3.0,180.0
147,Anonas,10/25/2019,10,25,2019,2:58:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,32.0,F,28.0,M,1,1,MOTORCYCLE,120.5775963,16.0083812,0.0,33.5,25.0,2.0,180.0
148,Catablan,10/25/2019,10,25,2019,19:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,40.0,M,37.0,M,1,1,"BUS,TRUCK",120.5034145,15.9639088,0.0,33.5,25.0,2.0,180.0
149,Dr. Pedro T. Orata (Bactad Proper),10/25/2019,10,25,2019,19:20:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,22.0,M,65.0,M,2,1,"MOTORCYCLE,TRICYCLE",120.6088754,15.9770344,0.0,33.5,25.0,2.0,180.0
150,Nancayasan,10/25/2019,10,25,2019,16:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,50.0,M,28.0,M,1,1,"BUS,TRUCK",120.5754959,15.9565255,0.0,33.5,25.0,2.0,180.0
151,Nancayasan,10/26/2019,10,26,2019,19:35:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,27.0,F,47.0,M,1,1,CAR,120.5754214,15.9567686,0.0,32.8,25.0,2.0,90.0
152,San Vicente,10/26/2019,10,26,2019,18:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,35.0,F,25.0,M,2,1,"CAR,TRICYCLE,TRUCK",120.569007,15.9878922,0.0,32.8,25.0,2.0,90.0
153,Cabuloan,10/27/2019,10,27,2019,20:25:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,63.0,M,27.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.606464,15.976854,0.4,32.5,26.0,3.0,320.0
154,Cabuloan,10/27/2019,10,27,2019,20:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,63.0,M,27.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.6022867,15.9798464,0.4,32.5,26.0,3.0,320.0
155,Poblacion,10/28/2019,10,28,2019,11:00:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,4.0,F,34.0,M,2,1,ARMORED,120.5619698,15.9753788,-1.0,32.5,24.8,2.0,180.0
156,San Vicente,10/29/2019,10,29,2019,3:30:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,39.0,F,21.0,M,3,1,"CAR,MOTORCYCLE",120.5693237,15.9879715,0.0,31.5,24.8,2.0,160.0
157,Tulong,10/29/2019,10,29,2019,9:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,52.0,M,30.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5587526,15.9997127,0.0,31.5,24.8,2.0,160.0
158,Pinmaludpod,10/30/2019,10,30,2019,17:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,74.0,M,62.0,M,1,1,MOTORCYCLE,120.5144421,15.9995374,0.0,31.4,23.8,3.0,160.0
159,Camantiles,10/31/2019,10,31,2019,15:20:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,30.0,M,30.0,M,2,2,MOTORCYCLE,120.5391129,16.0033981,0.0,32.0,26.0,3.0,340.0
160,Pinmaludpod,11/1/2019,11,1,2019,11:35:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,43.0,M,41.0,M,1,1,"AMBULANCE,MOTORCYCLE",120.5154295,15.9803978,-1.0,31.5,25.2,2.0,160.0
161,Pinmaludpod,11/1/2019,11,1,2019,17:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,33.0,M,18.0,M,1,1,"CAR,MOTORCYCLE",120.5150995,16.0000798,-1.0,31.5,25.2,2.0,160.0
162,Cayambanan,11/3/2019,11,3,2019,19:55:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,51.0,M,51.0,M,2,2,MOTORCYCLE,120.5957093,16.0030144,11.8,32.3,25.5,2.0,180.0
163,Cayambanan,11/3/2019,11,3,2019,19:55:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,51.0,M,51.0,M,2,2,MOTORCYCLE,120.5969868,16.0044842,11.8,32.3,25.5,2.0,180.0
164,Pinmaludpod,11/3/2019,11,3,2019,9:40:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,62.0,F,61.0,M,2,1,TRICYCLE,120.5162147,15.9805501,11.8,32.3,25.5,2.0,180.0
165,Poblacion,11/4/2019,11,4,2019,8:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,36.0,M,48.0,M,1,1,"BUS,CAR",120.5628162,15.9754889,50.8,30.5,25.0,2.0,160.0
166,Poblacion,11/6/2019,11,6,2019,15:15:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,25.0,M,25.0,M,2,2,"CAR,MOTORCYCLE",120.5635455,15.9755784,14.4,28.6,24.3,2.0,160.0
167,San Vicente,11/6/2019,11,6,2019,8:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,,,35.0,M,0,1,TRICYCLE,120.56955,15.9881327,14.4,28.6,24.3,2.0,160.0
168,Nancayasan,11/8/2019,11,8,2019,5:00:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,46.0,M,44.0,M,4,1,TRUCK,120.5753176,15.9571025,7.2,32.3,25.2,2.0,90.0
169,Nancayasan,11/8/2019,11,8,2019,5:00:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,46.0,M,44.0,M,4,1,TRUCK,120.5751978,15.9574352,7.2,32.3,25.2,2.0,90.0
170,Catablan,11/9/2019,11,9,2019,14:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,44.0,M,44.0,M,2,2,"ARMORED,MOTORCYCLE",120.5017404,15.9653047,11.6,30.8,25.0,3.0,340.0
171,Catablan,11/9/2019,11,9,2019,14:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,44.0,M,44.0,M,2,2,"ARMORED,MOTORCYCLE",120.5005986,15.9663589,11.6,30.8,25.0,3.0,340.0
172,Catablan,11/10/2019,11,10,2019,17:55:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,45.0,M,40.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.4989591,15.9677177,0.0,27.4,24.0,2.0,160.0
173,Pinmaludpod,11/10/2019,11,10,2019,21:35:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,39.0,M,48.0,M,1,1,"MOTORCYCLE,TRUCK",120.5157063,16.0005199,0.0,27.4,24.0,2.0,160.0
174,Nancayasan,11/11/2019,11,11,2019,13:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,15.0,M,29.0,M,1,1,MOTORCYCLE,120.5750967,15.9577474,0.0,31.0,24.5,3.0,340.0
175,Bayaoas,11/14/2019,11,14,2019,11:30:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,23.0,M,23.0,M,2,2,MOTORCYCLE,120.5803313,15.9710218,0.0,30.6,23.9,2.0,180.0
176,Nancayasan,11/14/2019,11,14,2019,12:20:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,42.0,F,69.0,M,1,1,CAR,120.5750035,15.9580801,0.0,30.6,23.9,2.0,180.0
177,Nancamaliran West,11/15/2019,11,15,2019,14:10:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,40.0,M,32.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5471076,15.9747788,0.0,30.8,24.7,2.0,340.0
178,Cabuloan,11/16/2019,11,16,2019,20:35:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,45.0,M,45.0,M,2,2,MOTORCYCLE,120.6051252,15.9767414,0.0,32.0,25.0,3.0,320.0
179,San Vicente,11/17/2019,11,17,2019,18:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,11.0,M,33.0,M,5,2,"CAR,TRICYCLE",120.56953,15.9883323,0.8,30.7,24.0,3.0,340.0
180,San Vicente,11/17/2019,11,17,2019,18:10:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,11.0,M,33.0,M,5,2,"CAR,TRICYCLE",120.5697948,15.988583,0.8,30.7,24.0,3.0,340.0
181,Nancayasan,11/18/2019,11,18,2019,19:00:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,45.0,M,26.0,M,1,1,MOTORCYCLE,120.5749104,15.9583923,0.2,29.5,26.0,5.0,340.0
182,Poblacion,11/18/2019,11,18,2019,14:30:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,26.0,M,39.0,M,2,1,"BUS,MOTORCYCLE",120.5644025,15.9756449,0.2,29.5,26.0,5.0,340.0
183,Poblacion,11/19/2019,11,19,2019,18:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,23.0,M,50.0,M,1,1,CAR,120.5652861,15.9757115,0.0,30.5,26.5,5.0,340.0
184,Catablan,11/20/2019,11,20,2019,17:00:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,36.0,M,43.0,M,1,1,"MOTORCYCLE,TRUCK",120.4970327,15.96931826,2.2,29.5,24.0,3.0,340.0
185,Nancalobasaan,11/20/2019,11,20,2019,0:25:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,45.0,M,45.0,M,1,1,MOTORCYCLE,120.5996743,16.0071065,2.2,29.5,24.0,3.0,340.0
186,Nancayasan,11/21/2019,11,21,2019,15:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,59.0,M,59.0,M,2,2,"ARMORED,TRICYCLE",120.5747893,15.9587646,0.0,29.0,24.4,2.0,360.0
187,Anonas,12/2/2019,12,2,2019,2:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,55.0,M,72.0,M,1,1,"CAR,TRUCK",120.5864796,15.9949055,0.0,27.8,24.2,4.0,360.0
188,Cayambanan,12/2/2019,12,2,2019,20:00:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,18.0,M,52.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5908918,16.0004265,0.0,27.8,24.2,4.0,360.0
189,Catablan,12/3/2019,12,3,2019,10:50:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,29.0,M,51.0,M,1,1,TRUCK,120.4943632,15.9759418,9.2,26.8,23.5,2.0,90.0
190,Poblacion,12/3/2019,12,3,2019,9:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,84.0,M,48.0,M,1,1,"PICK-UP,WAGON",120.5662603,15.9757627,9.2,26.8,23.5,2.0,90.0
191,Nancayasan,12/5/2019,12,5,2019,17:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,71.0,M,31.0,M,1,2,"CAR,TRICYCLE",120.5746775,15.959087,0.6,30.3,25.2,2.0,340.0
192,Poblacion,12/5/2019,12,5,2019,0:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,29.0,M,40.0,M,1,1,"MOTORCYCLE,TRUCK",120.5673435,15.9758036,0.6,30.3,25.2,2.0,340.0
193,San Jose,12/5/2019,12,5,2019,17:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,37.0,M,52.0,M,1,1,"CAR,PICK-UP",120.5078527,15.978805,0.6,30.3,25.2,2.0,340.0
194,Anonas,12/6/2019,12,6,2019,15:20:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,43.0,M,38.0,M,1,1,"CAR,TRUCK",120.583384,15.9940043,0.0,29.3,25.5,5.0,340.0
195,San Vicente,12/6/2019,12,6,2019,11:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,60.0,M,43.0,M,1,1,"CAR,TRICYCLE",120.5699945,15.9887391,0.0,29.3,25.5,5.0,340.0
196,San Vicente,12/7/2019,12,7,2019,1:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,30.0,F,39.0,M,2,1,"CAR,TRICYCLE",120.5703112,15.9887084,0.0,28.0,22.8,3.0,320.0
197,Anonas,12/8/2019,12,8,2019,21:20:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,54.0,M,54.0,M,2,2,MOTORCYCLE,120.5779426,15.9961438,0.0,28.6,23.6,2.0,360.0
198,Bactad East,12/8/2019,12,8,2019,11:45:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,28.0,F,28.0,F,2,2,"CAR,VAN",120.6224677,15.9802283,0.0,28.6,23.6,2.0,360.0
199,Dr. Pedro T. Orata (Bactad Proper),12/8/2019,12,8,2019,3:05:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,20.0,M,20.0,M,1,1,CAR,120.6107199,15.9771674,0.0,28.6,23.6,2.0,360.0
200,Nancayasan,12/10/2019,12,10,2019,15:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,41.0,M,29.0,M,1,1,"CAR,TRUCK",120.5745551,15.9594479,0.0,29.5,23.0,3.0,340.0
201,San Vicente,12/10/2019,12,10,2019,7:00:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,51.0,M,16.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5704682,15.9885753,0.0,29.5,23.0,3.0,340.0
202,San Vicente,12/12/2019,12,12,2019,16:20:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,50.0,M,30.0,M,1,1,"PICK-UP,TRUCK",120.5706785,15.98856,0.0,33.2,23.2,2.0,360.0
203,Dr. Pedro T. Orata (Bactad Proper),12/13/2019,12,13,2019,14:15:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,37.0,M,42.0,M,1,1,"CAR,TRUCK",120.6128757,15.9773235,0.0,31.0,24.0,3.0,180.0
204,Nancalobasaan,12/13/2019,12,13,2019,21:20:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,,,18.0,M,0,1,TRUCK,120.6015787,16.008309,0.0,31.0,24.0,3.0,180.0
205,Poblacion,12/13/2019,12,13,2019,16:20:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,75.0,M,75.0,M,2,2,CAR,120.5685838,15.9758369,0.0,31.0,24.0,3.0,180.0
206,San Vicente,12/13/2019,12,13,2019,23:20:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE PHYSICAL INJURY - RPC Art 365,47.0,F,19.0,M,5,1,MOTORCYCLE,120.5708754,15.9886981,0.0,31.0,24.0,3.0,180.0
